File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	Audit WARNING	Audit INTERNAL_ACTION	Audit NOT_COMPLIANT	Audit ERROR
ENCFF692GBM	bed narrowPeak	bed	narrowPeak	optimal IDR thresholded peaks	hg19	ENCSR626VUC	ChIP-seq ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										ETV6-human	DNA						2014-07-07	ENCODE				1, 2	1_1, 2_1						ENCFF001TDO, ENCFF162BDU, ENCFF496IEH, ENCFF777XYO	337339	ENCODE Processing Pipeline	1acc555b446c6ccf848d0b6257a65ad6		https://www.encodeproject.org/files/ENCFF692GBM/@@download/ENCFF692GBM.bed.gz				archived	s3://encode-public/2017/03/06/bc14a9b3-ab1d-4030-a4da-6bb6e8d5126e/ENCFF692GBM.bed.gz	antibody characterized with exemption, borderline replicate concordance			
ENCFF001VFO	bed narrowPeak	bed	narrowPeak	peaks	hg19	ENCSR000DZZ	ChIP-seq ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										TBP-human	DNA						2011-10-29	ENCODE												611449	Michael Snyder, Stanford	923cf1f45e7cae25ebfc6c93147e9718		https://www.encodeproject.org/files/ENCFF001VFO/@@download/ENCFF001VFO.bed.gz				archived	s3://encode-public/2012/07/01/2886b747-60dd-40c7-9d9e-2fe758228317/ENCFF001VFO.narrowPeak.gz	improper control_type of control experiment, low read depth, borderline replicate concordance, low read length	missing derived_from, biological replicates with identical biosample		
ENCFF002CPR	bed narrowPeak	bed	narrowPeak	optimal IDR thresholded peaks	hg19	ENCSR000DZZ	ChIP-seq ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										TBP-human	DNA						2011-10-29	ENCODE												380865	ENCODE Consortium Analysis Working Group	76fd4d8cc7d5952f67c615f60a14afda		https://www.encodeproject.org/files/ENCFF002CPR/@@download/ENCFF002CPR.bed.gz				archived	s3://encode-public/2014/06/06/3c7c1c76-5690-4bdc-8729-aaa92d055245/ENCFF002CPR.narrowPeak.gz	improper control_type of control experiment, low read depth, borderline replicate concordance, low read length	missing derived_from, biological replicates with identical biosample		
ENCFF054TZW	bed narrowPeak	bed	narrowPeak	peaks and background as input for IDR	hg19	ENCSR000DZZ	ChIP-seq ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										TBP-human	DNA						2011-10-29	ENCODE				1	1_1						ENCFF110OHA, ENCFF498BXQ, ENCFF545DZO	4520409	ENCODE Processing Pipeline	def22d49fd1bea246ad3a6729ac518c9		https://www.encodeproject.org/files/ENCFF054TZW/@@download/ENCFF054TZW.bed.gz				released	s3://encode-public/2017/07/19/398c8ea3-4174-4c0c-ac18-db3703e60c2b/ENCFF054TZW.bed.gz	improper control_type of control experiment, low read depth, borderline replicate concordance, low read length	biological replicates with identical biosample		
ENCFF052EPC	bed narrowPeak	bed	narrowPeak	peaks and background as input for IDR	hg19	ENCSR000DZZ	ChIP-seq ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										TBP-human	DNA						2011-10-29	ENCODE				1, 2	1_1, 2_1						ENCFF110OHA, ENCFF498BXQ, ENCFF532CDZ, ENCFF545DZO	5023109	ENCODE Processing Pipeline	b9c2c60b5102aa2ea49ebbe298371e70		https://www.encodeproject.org/files/ENCFF052EPC/@@download/ENCFF052EPC.bed.gz				released	s3://encode-public/2017/07/19/893fa9a2-9d33-47ef-b42b-31268857e78e/ENCFF052EPC.bed.gz	improper control_type of control experiment, low read depth, borderline replicate concordance, low read length	biological replicates with identical biosample		
ENCFF490VYC	bed narrowPeak	bed	narrowPeak	optimal IDR thresholded peaks	hg19	ENCSR000DZZ	ChIP-seq ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										TBP-human	DNA						2011-10-29	ENCODE				1, 2	1_1, 2_1						ENCFF001TDO, ENCFF052EPC, ENCFF054TZW, ENCFF113YPN	360409	ENCODE Processing Pipeline	83b95b0b1fe7e2d9274f754390afa39e		https://www.encodeproject.org/files/ENCFF490VYC/@@download/ENCFF490VYC.bed.gz				released	s3://encode-public/2017/07/19/920ca511-3cb3-482e-82e7-92b7853ac62c/ENCFF490VYC.bed.gz	improper control_type of control experiment, low read depth, borderline replicate concordance, low read length	biological replicates with identical biosample		
ENCFF113YPN	bed narrowPeak	bed	narrowPeak	peaks and background as input for IDR	hg19	ENCSR000DZZ	ChIP-seq ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										TBP-human	DNA						2011-10-29	ENCODE				2	2_1						ENCFF532CDZ, ENCFF545DZO	4140241	ENCODE Processing Pipeline	0a19fc910c0bb468dd11d35c927acbc9		https://www.encodeproject.org/files/ENCFF113YPN/@@download/ENCFF113YPN.bed.gz				released	s3://encode-public/2017/07/19/41a3da48-7986-414a-9826-f7e351daed54/ENCFF113YPN.bed.gz	improper control_type of control experiment, low read depth, borderline replicate concordance, low read length	biological replicates with identical biosample		
ENCFF327NLV	bed narrowPeak	bed	narrowPeak	conservative IDR thresholded peaks	hg19	ENCSR000DZZ	ChIP-seq ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										TBP-human	DNA						2011-10-29	ENCODE				1, 2	1_1, 2_1						ENCFF001TDO, ENCFF052EPC, ENCFF054TZW, ENCFF113YPN	280153	ENCODE Processing Pipeline	4359d75c821f817cf46ca0072a0c669a		https://www.encodeproject.org/files/ENCFF327NLV/@@download/ENCFF327NLV.bed.gz				released	s3://encode-public/2017/07/19/7885a841-fdfe-4451-80cc-3a1e4c81932e/ENCFF327NLV.bed.gz	improper control_type of control experiment, low read depth, borderline replicate concordance, low read length	biological replicates with identical biosample		
ENCFF407UYH	bed narrowPeak	bed	narrowPeak	peaks and background as input for IDR	GRCh38	ENCSR000DZZ	ChIP-seq ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										TBP-human	DNA						2011-10-29	ENCODE				1, 2	1_1, 2_1						ENCFF477ZKJ, ENCFF710SMS, ENCFF910NHM, ENCFF987AWV	5046651	ENCODE Processing Pipeline	8e845f41188619066c4ecb9d7cab8c95		https://www.encodeproject.org/files/ENCFF407UYH/@@download/ENCFF407UYH.bed.gz				released	s3://encode-public/2017/07/19/ed9b83af-23ab-4a3b-b13a-849e7b8ef3b3/ENCFF407UYH.bed.gz	improper control_type of control experiment, low read depth, borderline replicate concordance, low read length	biological replicates with identical biosample		
ENCFF571FGG	bed narrowPeak	bed	narrowPeak	conservative IDR thresholded peaks	GRCh38	ENCSR000DZZ	ChIP-seq ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										TBP-human	DNA						2011-10-29	ENCODE				1, 2	1_1, 2_1						ENCFF285WOP, ENCFF348ICN, ENCFF407UYH, ENCFF419RSJ	287621	ENCODE Processing Pipeline	d64276ed1d39af2107a9d0dd22cadda1		https://www.encodeproject.org/files/ENCFF571FGG/@@download/ENCFF571FGG.bed.gz				released	s3://encode-public/2017/07/19/29bbbd66-75e1-4bf8-8cf0-99068e313cf6/ENCFF571FGG.bed.gz	improper control_type of control experiment, low read depth, borderline replicate concordance, low read length	mismatched status, biological replicates with identical biosample		
ENCFF896UZB	bed narrowPeak	bed	narrowPeak	optimal IDR thresholded peaks	GRCh38	ENCSR000DZZ	ChIP-seq ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										TBP-human	DNA						2011-10-29	ENCODE				1, 2	1_1, 2_1						ENCFF285WOP, ENCFF348ICN, ENCFF407UYH, ENCFF419RSJ	370287	ENCODE Processing Pipeline	912cd305de68c2dc64c0e0e29b097a0d		https://www.encodeproject.org/files/ENCFF896UZB/@@download/ENCFF896UZB.bed.gz				released	s3://encode-public/2017/07/19/f966f881-3a18-4149-8427-24c469a93c1d/ENCFF896UZB.bed.gz	improper control_type of control experiment, low read depth, borderline replicate concordance, low read length	mismatched status, biological replicates with identical biosample		
ENCFF285WOP	bed narrowPeak	bed	narrowPeak	peaks and background as input for IDR	GRCh38	ENCSR000DZZ	ChIP-seq ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										TBP-human	DNA						2011-10-29	ENCODE				1	1_1						ENCFF477ZKJ, ENCFF710SMS, ENCFF987AWV	4534744	ENCODE Processing Pipeline	127396f8704d0435a0c4487efb66f2c9		https://www.encodeproject.org/files/ENCFF285WOP/@@download/ENCFF285WOP.bed.gz				released	s3://encode-public/2017/07/19/59defa59-c08b-4efc-90da-eed58c89760a/ENCFF285WOP.bed.gz	improper control_type of control experiment, low read depth, borderline replicate concordance, low read length	biological replicates with identical biosample		
ENCFF348ICN	bed narrowPeak	bed	narrowPeak	peaks and background as input for IDR	GRCh38	ENCSR000DZZ	ChIP-seq ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										TBP-human	DNA						2011-10-29	ENCODE				2	2_1						ENCFF477ZKJ, ENCFF910NHM	4142798	ENCODE Processing Pipeline	07056d629130f0f52ce4790b0fa19fae		https://www.encodeproject.org/files/ENCFF348ICN/@@download/ENCFF348ICN.bed.gz				released	s3://encode-public/2017/07/19/65459f93-fc51-4db5-8956-42200e28711c/ENCFF348ICN.bed.gz	improper control_type of control experiment, low read depth, borderline replicate concordance, low read length	biological replicates with identical biosample		
ENCFF001VEQ	bed narrowPeak	bed	narrowPeak	peaks	hg19	ENCSR000DZA	ChIP-seq ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										MAZ-human	DNA						2012-05-14	ENCODE												919322	Michael Snyder, Stanford	ff0cca0c20dd2701091eac556a813af1		https://www.encodeproject.org/files/ENCFF001VEQ/@@download/ENCFF001VEQ.bed.gz				archived	s3://encode-public/2012/07/01/e58e1f6d-437e-476e-948c-d55d90268004/ENCFF001VEQ.narrowPeak.gz	improper control_type of control experiment, low read depth, low read length	missing derived_from, biological replicates with identical biosample		
ENCFF002COX	bed narrowPeak	bed	narrowPeak	optimal IDR thresholded peaks	hg19	ENCSR000DZA	ChIP-seq ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										MAZ-human	DNA						2012-05-14	ENCODE												487628	ENCODE Consortium Analysis Working Group	4fbb1074820a315f2c46941fd87d8591		https://www.encodeproject.org/files/ENCFF002COX/@@download/ENCFF002COX.bed.gz				archived	s3://encode-public/2014/06/06/5fc76f37-999a-464b-b9e0-0f64a0fa61a6/ENCFF002COX.narrowPeak.gz	improper control_type of control experiment, low read depth, low read length	missing derived_from, biological replicates with identical biosample		
ENCFF138BYH	bed narrowPeak	bed	narrowPeak	peaks and background as input for IDR	hg19	ENCSR000DZA	ChIP-seq ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										MAZ-human	DNA						2012-05-14	ENCODE				1	1_1						ENCFF110OHA, ENCFF289UDS, ENCFF545DZO	4568115	ENCODE Processing Pipeline	ec1198a4c0a1cd0819201529ef26e465		https://www.encodeproject.org/files/ENCFF138BYH/@@download/ENCFF138BYH.bed.gz				released	s3://encode-public/2017/07/20/4dc96945-4471-4e04-bb09-1c15a4264c14/ENCFF138BYH.bed.gz	improper control_type of control experiment, low read depth, low read length	biological replicates with identical biosample		
ENCFF066XDW	bed narrowPeak	bed	narrowPeak	optimal IDR thresholded peaks	hg19	ENCSR000DZA	ChIP-seq ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										MAZ-human	DNA						2012-05-14	ENCODE				1, 2	1_1, 2_1						ENCFF001TDO, ENCFF007UID, ENCFF138BYH, ENCFF440OBY	438480	ENCODE Processing Pipeline	819540d756d42218522ec2e8fd9c0b87		https://www.encodeproject.org/files/ENCFF066XDW/@@download/ENCFF066XDW.bed.gz				released	s3://encode-public/2017/07/20/34d2011f-9c73-4387-8962-f30f477d687b/ENCFF066XDW.bed.gz	improper control_type of control experiment, low read depth, low read length	biological replicates with identical biosample		
ENCFF440OBY	bed narrowPeak	bed	narrowPeak	peaks and background as input for IDR	hg19	ENCSR000DZA	ChIP-seq ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										MAZ-human	DNA						2012-05-14	ENCODE				2	2_1						ENCFF509RNF, ENCFF545DZO	4474802	ENCODE Processing Pipeline	3a3df51f9159bd917167447c0f6804b9		https://www.encodeproject.org/files/ENCFF440OBY/@@download/ENCFF440OBY.bed.gz				released	s3://encode-public/2017/07/20/aeeef65f-56d9-478d-ad3a-5827a7e8d939/ENCFF440OBY.bed.gz	improper control_type of control experiment, low read depth, low read length	biological replicates with identical biosample		
ENCFF288RYL	bed narrowPeak	bed	narrowPeak	conservative IDR thresholded peaks	hg19	ENCSR000DZA	ChIP-seq ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										MAZ-human	DNA						2012-05-14	ENCODE				1, 2	1_1, 2_1						ENCFF001TDO, ENCFF007UID, ENCFF138BYH, ENCFF440OBY	389764	ENCODE Processing Pipeline	fb2e4bd09e676e2360986c843d0590f1		https://www.encodeproject.org/files/ENCFF288RYL/@@download/ENCFF288RYL.bed.gz				released	s3://encode-public/2017/07/20/a525d832-1b6f-4308-98d4-b51d7ffc749c/ENCFF288RYL.bed.gz	improper control_type of control experiment, low read depth, low read length	biological replicates with identical biosample		
ENCFF007UID	bed narrowPeak	bed	narrowPeak	peaks and background as input for IDR	hg19	ENCSR000DZA	ChIP-seq ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										MAZ-human	DNA						2012-05-14	ENCODE				1, 2	1_1, 2_1						ENCFF110OHA, ENCFF289UDS, ENCFF509RNF, ENCFF545DZO	5277084	ENCODE Processing Pipeline	b6556d1943a37b81ad984fa4fc39e864		https://www.encodeproject.org/files/ENCFF007UID/@@download/ENCFF007UID.bed.gz				released	s3://encode-public/2017/07/20/0002720b-0cf6-4c3f-8477-76c3db5b42a8/ENCFF007UID.bed.gz	improper control_type of control experiment, low read depth, low read length	biological replicates with identical biosample		
ENCFF460RWM	bed narrowPeak	bed	narrowPeak	conservative IDR thresholded peaks	GRCh38	ENCSR000DZA	ChIP-seq ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										MAZ-human	DNA						2012-05-14	ENCODE				1, 2	1_1, 2_1						ENCFF089PBY, ENCFF419RSJ, ENCFF495XBO, ENCFF525RFX	401031	ENCODE Processing Pipeline	4345233362c98082a4820110d4bb3c01		https://www.encodeproject.org/files/ENCFF460RWM/@@download/ENCFF460RWM.bed.gz				released	s3://encode-public/2017/07/20/9ebb2487-8f39-4027-acea-e80a3cf63eb9/ENCFF460RWM.bed.gz	improper control_type of control experiment, low read depth, low read length	mismatched status, biological replicates with identical biosample		
ENCFF348STZ	bed narrowPeak	bed	narrowPeak	optimal IDR thresholded peaks	GRCh38	ENCSR000DZA	ChIP-seq ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										MAZ-human	DNA						2012-05-14	ENCODE				1, 2	1_1, 2_1						ENCFF089PBY, ENCFF419RSJ, ENCFF495XBO, ENCFF525RFX	431986	ENCODE Processing Pipeline	b36f59bcb5d64a7cf8c4c9c66f2a5fc7		https://www.encodeproject.org/files/ENCFF348STZ/@@download/ENCFF348STZ.bed.gz				released	s3://encode-public/2017/07/20/90e99856-1b93-407b-ab0e-2fe5139d7a49/ENCFF348STZ.bed.gz	improper control_type of control experiment, low read depth, low read length	mismatched status, biological replicates with identical biosample		
ENCFF525RFX	bed narrowPeak	bed	narrowPeak	peaks and background as input for IDR	GRCh38	ENCSR000DZA	ChIP-seq ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										MAZ-human	DNA						2012-05-14	ENCODE				2	2_1						ENCFF352KKZ, ENCFF477ZKJ	4476859	ENCODE Processing Pipeline	52fc3f41ef7beaf0a2ee16a749b85eb4		https://www.encodeproject.org/files/ENCFF525RFX/@@download/ENCFF525RFX.bed.gz				released	s3://encode-public/2017/07/20/4bbb85d8-276b-4ada-bee6-7631700c59a5/ENCFF525RFX.bed.gz	improper control_type of control experiment, low read depth, low read length	biological replicates with identical biosample		
ENCFF089PBY	bed narrowPeak	bed	narrowPeak	peaks and background as input for IDR	GRCh38	ENCSR000DZA	ChIP-seq ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										MAZ-human	DNA						2012-05-14	ENCODE				1, 2	1_1, 2_1						ENCFF352KKZ, ENCFF406RXQ, ENCFF477ZKJ, ENCFF710SMS	5275299	ENCODE Processing Pipeline	964396b6642cb80e9c6ee7645b379671		https://www.encodeproject.org/files/ENCFF089PBY/@@download/ENCFF089PBY.bed.gz				released	s3://encode-public/2017/07/20/19a395ff-4220-42ab-8feb-75990878b554/ENCFF089PBY.bed.gz	improper control_type of control experiment, low read depth, low read length	biological replicates with identical biosample		
ENCFF495XBO	bed narrowPeak	bed	narrowPeak	peaks and background as input for IDR	GRCh38	ENCSR000DZA	ChIP-seq ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										MAZ-human	DNA						2012-05-14	ENCODE				1	1_1						ENCFF406RXQ, ENCFF477ZKJ, ENCFF710SMS	4604839	ENCODE Processing Pipeline	74725a016cbadfb45e59c7508331d7d8		https://www.encodeproject.org/files/ENCFF495XBO/@@download/ENCFF495XBO.bed.gz				released	s3://encode-public/2017/07/20/33c2e15e-2677-49eb-9c96-b1e091de20fd/ENCFF495XBO.bed.gz	improper control_type of control experiment, low read depth, low read length	biological replicates with identical biosample		
ENCFF002CHU	bed narrowPeak	bed	narrowPeak	optimal IDR thresholded peaks	hg19	ENCSR000BJE	ChIP-seq ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										SIX5-human	DNA						2011-07-18	ENCODE												99895	ENCODE Consortium Analysis Working Group	c85b1e6990282d9fb581b19de053c875		https://www.encodeproject.org/files/ENCFF002CHU/@@download/ENCFF002CHU.bed.gz				archived	s3://encode-public/2014/06/06/1090d978-ec04-445c-9109-3aa1310635a8/ENCFF002CHU.narrowPeak.gz	mild to moderate bottlenecking, moderate library complexity, low read depth, low read length	missing derived_from, biological replicates with identical biosample	severe bottlenecking	
ENCFF233IWJ	bed narrowPeak	bed	narrowPeak	conservative IDR thresholded peaks	GRCh38	ENCSR000BJE	ChIP-seq ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										SIX5-human	DNA						2011-07-18	ENCODE				1, 2	1_1, 2_1						ENCFF205XAJ, ENCFF237JOK, ENCFF419RSJ, ENCFF736XQD	74869	ENCODE Processing Pipeline	dd9f0df797ed5c259ae7b275edf8ceec		https://www.encodeproject.org/files/ENCFF233IWJ/@@download/ENCFF233IWJ.bed.gz				released	s3://encode-public/2016/12/14/819ceed0-c6cf-4f46-bd04-df7a559ee5d0/ENCFF233IWJ.bed.gz	mild to moderate bottlenecking, moderate library complexity, low read depth, low read length	mismatched status, biological replicates with identical biosample	severe bottlenecking	
ENCFF205XAJ	bed narrowPeak	bed	narrowPeak	peaks and background as input for IDR	GRCh38	ENCSR000BJE	ChIP-seq ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										SIX5-human	DNA						2011-07-18	ENCODE				2	2_1						ENCFF438FFV, ENCFF707RRY	3559698	ENCODE Processing Pipeline	d382d68d0f2e935d0d8f7f0f311131bd		https://www.encodeproject.org/files/ENCFF205XAJ/@@download/ENCFF205XAJ.bed.gz				released	s3://encode-public/2016/12/14/27167f93-38a0-4ced-bfec-3d2316a1cbb9/ENCFF205XAJ.bed.gz	mild to moderate bottlenecking, moderate library complexity, low read depth, low read length	biological replicates with identical biosample	severe bottlenecking	
ENCFF864TFH	bed narrowPeak	bed	narrowPeak	optimal IDR thresholded peaks	GRCh38	ENCSR000BJE	ChIP-seq ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										SIX5-human	DNA						2011-07-18	ENCODE				1, 2	1_1, 2_1						ENCFF205XAJ, ENCFF237JOK, ENCFF419RSJ, ENCFF736XQD	94660	ENCODE Processing Pipeline	a797ab5b6a058667349ed9bea424ca00		https://www.encodeproject.org/files/ENCFF864TFH/@@download/ENCFF864TFH.bed.gz				released	s3://encode-public/2016/12/14/50098151-641e-47a8-b49a-0dbde2deece3/ENCFF864TFH.bed.gz	mild to moderate bottlenecking, moderate library complexity, low read depth, low read length	mismatched status, biological replicates with identical biosample	severe bottlenecking	
ENCFF736XQD	bed narrowPeak	bed	narrowPeak	peaks and background as input for IDR	GRCh38	ENCSR000BJE	ChIP-seq ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										SIX5-human	DNA						2011-07-18	ENCODE				1	1_1						ENCFF562HPN, ENCFF971KJA	3928333	ENCODE Processing Pipeline	d6ac3bc8e0be5ffbff266f42f4b65168		https://www.encodeproject.org/files/ENCFF736XQD/@@download/ENCFF736XQD.bed.gz				released	s3://encode-public/2016/12/14/be9f96e7-db59-4f26-b681-efbd94c1883f/ENCFF736XQD.bed.gz	mild to moderate bottlenecking, moderate library complexity, low read depth, low read length	biological replicates with identical biosample	severe bottlenecking	
ENCFF237JOK	bed narrowPeak	bed	narrowPeak	peaks and background as input for IDR	GRCh38	ENCSR000BJE	ChIP-seq ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										SIX5-human	DNA						2011-07-18	ENCODE				1, 2	1_1, 2_1						ENCFF438FFV, ENCFF562HPN, ENCFF707RRY, ENCFF971KJA	4925732	ENCODE Processing Pipeline	1a78d22d95caa903506d9a554383fda7		https://www.encodeproject.org/files/ENCFF237JOK/@@download/ENCFF237JOK.bed.gz				released	s3://encode-public/2016/12/14/ceb327ca-754c-4b74-b61a-6c00c18fa517/ENCFF237JOK.bed.gz	mild to moderate bottlenecking, moderate library complexity, low read depth, low read length	biological replicates with identical biosample	severe bottlenecking	
ENCFF771CBA	bed narrowPeak	bed	narrowPeak	peaks and background as input for IDR	hg19	ENCSR000BJE	ChIP-seq ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										SIX5-human	DNA						2011-07-18	ENCODE				1, 2	1_1, 2_1						ENCFF060XMV, ENCFF797IAR, ENCFF837IOW, ENCFF958RTR	4955482	ENCODE Processing Pipeline	4a4b5d86fdcd0b65a5f92c4f76811887		https://www.encodeproject.org/files/ENCFF771CBA/@@download/ENCFF771CBA.bed.gz				released	s3://encode-public/2017/12/08/b8042a63-1834-4bac-b393-f1ee379e476a/ENCFF771CBA.bed.gz	mild to moderate bottlenecking, moderate library complexity, low read depth, low read length	biological replicates with identical biosample	severe bottlenecking	
ENCFF606WUV	bed narrowPeak	bed	narrowPeak	optimal IDR thresholded peaks	hg19	ENCSR000BJE	ChIP-seq ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										SIX5-human	DNA						2011-07-18	ENCODE				1, 2	1_1, 2_1						ENCFF001TDO, ENCFF491NVT, ENCFF557TKJ, ENCFF771CBA	91820	ENCODE Processing Pipeline	f5cc0ab0fab5aa90cb4d068d46f09c70		https://www.encodeproject.org/files/ENCFF606WUV/@@download/ENCFF606WUV.bed.gz				released	s3://encode-public/2017/12/08/c3129708-b0f2-41f8-b885-e79e76f63530/ENCFF606WUV.bed.gz	mild to moderate bottlenecking, moderate library complexity, low read depth, low read length	biological replicates with identical biosample	severe bottlenecking	
ENCFF491NVT	bed narrowPeak	bed	narrowPeak	peaks and background as input for IDR	hg19	ENCSR000BJE	ChIP-seq ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										SIX5-human	DNA						2011-07-18	ENCODE				2	2_1						ENCFF797IAR, ENCFF837IOW	3572166	ENCODE Processing Pipeline	d1a1faae16d72d91b8f0943e4b26cd96		https://www.encodeproject.org/files/ENCFF491NVT/@@download/ENCFF491NVT.bed.gz				released	s3://encode-public/2017/12/08/0442bc97-fc7f-4f6f-9fe9-dbf6e07c98e1/ENCFF491NVT.bed.gz	mild to moderate bottlenecking, moderate library complexity, low read depth, low read length	biological replicates with identical biosample	severe bottlenecking	
ENCFF163EZT	bed narrowPeak	bed	narrowPeak	conservative IDR thresholded peaks	hg19	ENCSR000BJE	ChIP-seq ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										SIX5-human	DNA						2011-07-18	ENCODE				1, 2	1_1, 2_1						ENCFF001TDO, ENCFF491NVT, ENCFF557TKJ, ENCFF771CBA	70687	ENCODE Processing Pipeline	a2b8141773a111b3ac493d81a27a64ce		https://www.encodeproject.org/files/ENCFF163EZT/@@download/ENCFF163EZT.bed.gz				released	s3://encode-public/2017/12/08/2daebe56-e8b0-4c5f-b65b-a2a8016e6a61/ENCFF163EZT.bed.gz	mild to moderate bottlenecking, moderate library complexity, low read depth, low read length	biological replicates with identical biosample	severe bottlenecking	
ENCFF557TKJ	bed narrowPeak	bed	narrowPeak	peaks and background as input for IDR	hg19	ENCSR000BJE	ChIP-seq ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										SIX5-human	DNA						2011-07-18	ENCODE				1	1_1						ENCFF060XMV, ENCFF958RTR	3926265	ENCODE Processing Pipeline	050cc271a271744bf736fd530aad10d0		https://www.encodeproject.org/files/ENCFF557TKJ/@@download/ENCFF557TKJ.bed.gz				released	s3://encode-public/2017/12/08/f67ad618-f251-4d1e-87ba-d6f6c29bb7f4/ENCFF557TKJ.bed.gz	mild to moderate bottlenecking, moderate library complexity, low read depth, low read length	biological replicates with identical biosample	severe bottlenecking	
ENCFF001VFL	bed narrowPeak	bed	narrowPeak	peaks	hg19	ENCSR000DZM	ChIP-seq ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										STAT1-human	DNA						2011-10-29	ENCODE												848205	Michael Snyder, Stanford	f58986006f0a5bd4cb545683d5481a25		https://www.encodeproject.org/files/ENCFF001VFL/@@download/ENCFF001VFL.bed.gz				archived	s3://encode-public/2012/07/01/ddfa4771-0d51-4d95-8b69-461155096a74/ENCFF001VFL.narrowPeak.gz	low read depth, low read length	missing derived_from, biological replicates with identical biosample		
ENCFF002CPO	bed narrowPeak	bed	narrowPeak	optimal IDR thresholded peaks	hg19	ENCSR000DZM	ChIP-seq ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										STAT1-human	DNA						2011-10-29	ENCODE												47284	ENCODE Consortium Analysis Working Group	1a8cad32c7907b89908db2e9aedb4bc7		https://www.encodeproject.org/files/ENCFF002CPO/@@download/ENCFF002CPO.bed.gz				archived	s3://encode-public/2014/06/06/f287957e-858a-4fa3-960a-9f2d701b9016/ENCFF002CPO.narrowPeak.gz	low read depth, low read length	missing derived_from, biological replicates with identical biosample		
ENCFF002CGV	bed narrowPeak	bed	narrowPeak	optimal IDR thresholded peaks	hg19	ENCSR000BGU	ChIP-seq ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										EBF1-human	DNA						2011-07-18	ENCODE												709523	ENCODE Consortium Analysis Working Group	5f6fc43a9cd69bd28ade083a5de1345c		https://www.encodeproject.org/files/ENCFF002CGV/@@download/ENCFF002CGV.bed.gz				archived	s3://encode-public/2014/06/06/a5197672-a83f-40cf-bf12-f1034790217e/ENCFF002CGV.narrowPeak.gz	low read depth, low read length	missing derived_from, biological replicates with identical biosample		
